# ============================================================
# Filtration Sales Mastermind - Demo SKU Database
# ============================================================
# Last Updated: 2026-01-13
# Total SKUs: 500 (Demo Dataset)
#
# This file contains a demo product catalog for demonstration purposes.
# Use this data to recommend products to customers based on:
#   - Application Type (Food & Beverage, Pharmaceutical, Water Treatment, etc.)
#   - Is_Filtration (Yes/No) - whether product is filtration-related
#   - Price for budgeting
#   - Vendor for ordering
#
# TOP VENDORS BY SKU COUNT:
#   - SafeGuard Industries: 150 SKUs
#   - BluePump Co: 80 SKUs
#   - FlexFlow Pumps: 60 SKUs
#   - PureFilter Tech: 55 SKUs
#   - IndustrialPure: 40 SKUs
#   - ClearFlow Systems: 35 SKUs
#   - ProcessTech Sensors: 25 SKUs
#   - MetalMesh Pro: 20 SKUs
#   - PrecisionDose: 15 SKUs
#   - DrainMaster: 10 SKUs
#   - AutoFilter Systems: 10 SKUs
#
# ============================================================
SKU,Description,Vendor,Price_USD,Application,Filtration,Source
SG-FA-100,Flame Arrester 1" NPT,SafeGuard Industries,245.00,Oil & Gas,No,SafeGuard_Catalog_2026.pdf
SG-FA-150,Flame Arrester 1.5" NPT,SafeGuard Industries,312.00,Oil & Gas,No,SafeGuard_Catalog_2026.pdf
SG-FA-200,Flame Arrester 2" NPT,SafeGuard Industries,425.00,Oil & Gas,No,SafeGuard_Catalog_2026.pdf
SG-FA-300,Flame Arrester 3" NPT,SafeGuard Industries,585.00,Oil & Gas,No,SafeGuard_Catalog_2026.pdf
SG-FA-400,Flame Arrester 4" NPT,SafeGuard Industries,745.00,Oil & Gas,No,SafeGuard_Catalog_2026.pdf
SG-PV-100,Pressure/Vacuum Vent 1" NPT,SafeGuard Industries,189.00,Chemical,No,SafeGuard_Catalog_2026.pdf
SG-PV-150,Pressure/Vacuum Vent 1.5" NPT,SafeGuard Industries,245.00,Chemical,No,SafeGuard_Catalog_2026.pdf
SG-PV-200,Pressure/Vacuum Vent 2" NPT,SafeGuard Industries,312.00,Chemical,No,SafeGuard_Catalog_2026.pdf
SG-PV-300,Pressure/Vacuum Vent 3" NPT,SafeGuard Industries,425.00,Chemical,No,SafeGuard_Catalog_2026.pdf
SG-PV-400,Pressure/Vacuum Vent 4" NPT,SafeGuard Industries,545.00,Chemical,No,SafeGuard_Catalog_2026.pdf
SG-BV-100,Breather Valve 1" NPT,SafeGuard Industries,156.00,Industrial,No,SafeGuard_Catalog_2026.pdf
SG-BV-150,Breather Valve 1.5" NPT,SafeGuard Industries,198.00,Industrial,No,SafeGuard_Catalog_2026.pdf
SG-BV-200,Breather Valve 2" NPT,SafeGuard Industries,267.00,Industrial,No,SafeGuard_Catalog_2026.pdf
SG-BV-300,Breather Valve 3" NPT,SafeGuard Industries,345.00,Industrial,No,SafeGuard_Catalog_2026.pdf
SG-BV-400,Breather Valve 4" NPT,SafeGuard Industries,445.00,Industrial,No,SafeGuard_Catalog_2026.pdf
SG-EV-100,Emergency Vent 1" NPT,SafeGuard Industries,312.00,Oil & Gas,No,SafeGuard_Catalog_2026.pdf
SG-EV-200,Emergency Vent 2" NPT,SafeGuard Industries,425.00,Oil & Gas,No,SafeGuard_Catalog_2026.pdf
SG-EV-300,Emergency Vent 3" NPT,SafeGuard Industries,545.00,Oil & Gas,No,SafeGuard_Catalog_2026.pdf
SG-EV-400,Emergency Vent 4" NPT,SafeGuard Industries,678.00,Oil & Gas,No,SafeGuard_Catalog_2026.pdf
SG-EV-600,Emergency Vent 6" NPT,SafeGuard Industries,945.00,Oil & Gas,No,SafeGuard_Catalog_2026.pdf
BP-AODD-050,1/2" AODD Pump Aluminum,BluePump Co,845.00,Industrial,No,BluePump_PriceList_2026.pdf
BP-AODD-100,1" AODD Pump Aluminum,BluePump Co,1250.00,Industrial,No,BluePump_PriceList_2026.pdf
BP-AODD-150,1.5" AODD Pump Aluminum,BluePump Co,1650.00,Industrial,No,BluePump_PriceList_2026.pdf
