SKU,Vendor,Description,List_Price_USD,Tier1_Price,Tier1_Discount,Tier2_Price,Tier2_Discount,Tier3_Price,Tier3_Discount,Cost_USD,Margin_Pct,Effective_Date,Expiration_Date,Currency,Notes
PF-VHP-01-1,PureFilter Tech,VHP Filter Housing 1" 1 Element,878.00,790.20,10%,834.10,5%,878.00,0%,548.75,38%,2026-01-01,2026-12-31,USD,
PF-VHP-03-2,PureFilter Tech,VHP Filter Housing 3" 2 Element,2155.00,1939.50,10%,2047.25,5%,2155.00,0%,1346.88,38%,2026-01-01,2026-12-31,USD,
PF-VHP-05-3,PureFilter Tech,VHP Filter Housing 5" 3 Element,2772.00,2494.80,10%,2633.40,5%,2772.00,0%,1732.50,38%,2026-01-01,2026-12-31,USD,
PF-CART-05-10,PureFilter Tech,5 Micron Pleated Cartridge 10",42.00,37.80,10%,39.90,5%,42.00,0%,26.25,38%,2026-01-01,2026-12-31,USD,High volume item
PF-CART-01-10,PureFilter Tech,1 Micron Pleated Cartridge 10",48.00,43.20,10%,45.60,5%,48.00,0%,30.00,38%,2026-01-01,2026-12-31,USD,High volume item
PF-CART-02-10,PureFilter Tech,0.2 Micron Membrane Cartridge 10",125.00,112.50,10%,118.75,5%,125.00,0%,78.13,38%,2026-01-01,2026-12-31,USD,Pharma grade
IP-DF-05-10,IndustrialPure,Depth Filter 5 Micron 10",38.00,34.20,10%,36.10,5%,38.00,0%,23.75,38%,2026-01-01,2026-12-31,USD,
IP-DF-10-10,IndustrialPure,Depth Filter 10 Micron 10",35.00,31.50,10%,33.25,5%,35.00,0%,21.88,38%,2026-01-01,2026-12-31,USD,
IP-MF-02-10,IndustrialPure,Membrane Filter 0.2um 10",145.00,130.50,10%,137.75,5%,145.00,0%,90.63,38%,2026-01-01,2026-12-31,USD,Pharma grade
IP-HSG-304-10,IndustrialPure,304SS Housing Single 10",425.00,382.50,10%,403.75,5%,425.00,0%,265.63,38%,2026-01-01,2026-12-31,USD,
IP-HSG-316-10,IndustrialPure,316SS Housing Single 10",545.00,490.50,10%,517.75,5%,545.00,0%,340.63,38%,2026-01-01,2026-12-31,USD,
BP-AODD-100,BluePump Co,1" AODD Pump Aluminum,1250.00,1125.00,10%,1187.50,5%,1250.00,0%,781.25,38%,2026-01-01,2026-12-31,USD,
BP-AODD-200,BluePump Co,2" AODD Pump Aluminum,2100.00,1890.00,10%,1995.00,5%,2100.00,0%,1312.50,38%,2026-01-01,2026-12-31,USD,
BP-AODD-100-SS,BluePump Co,1" AODD Pump Stainless Steel,2450.00,2205.00,10%,2327.50,5%,2450.00,0%,1531.25,38%,2026-01-01,2026-12-31,USD,Food grade
